match_id,season,match_date,player,team,period,minute,x,y,outcome,shot_type,statsbomb_xg
3773386,2020/2021,2020-10-31,Anssumane Fati,Barcelona,1,12,108.6,28.0,Off T,Open Play,0.2009693
3773386,2020/2021,2020-10-31,Edgar Antonio Méndez Ortega,Deportivo Alavés,1,16,103.6,51.0,Saved,Open Play,0.096383646
3773386,2020/2021,2020-10-31,Antoine Griezmann,Barcelona,1,19,104.3,33.9,Off T,Open Play,0.09887917
3773386,2020/2021,2020-10-31,Lionel Andrés Messi Cuccittini,Barcelona,1,22,97.9,44.3,Blocked,Free Kick,0.07893826
3773386,2020/2021,2020-10-31,Luis Jesús Rioja González,Deportivo Alavés,1,30,118.3,42.1,Goal,Open Play,0.9761923
3773386,2020/2021,2020-10-31,Frenkie de Jong,Barcelona,1,35,113.1,39.3,Off T,Open Play,0.20307332
3773386,2020/2021,2020-10-31,Lionel Andrés Messi Cuccittini,Barcelona,1,42,101.3,41.6,Blocked,Free Kick,0.09501523
3773386,2020/2021,2020-10-31,Florian Grégoire Claude Lejeune,Deportivo Alavés,1,44,84.7,42.1,Off T,Free Kick,0.017764185
3773386,2020/2021,2020-10-31,Lionel Andrés Messi Cuccittini,Barcelona,1,45,105.3,32.9,Saved,Open Play,0.11245217
3773386,2020/2021,2020-10-31,Lionel Andrés Messi Cuccittini,Barcelona,2,47,113.3,26.1,Saved,Open Play,0.054102834
3773386,2020/2021,2020-10-31,Lionel Andrés Messi Cuccittini,Barcelona,2,50,107.4,27.2,Saved,Open Play,0.030959154
3773386,2020/2021,2020-10-31,Anssumane Fati,Barcelona,2,53,111.5,31.6,Off T,Open Play,0.08542095
3773386,2020/2021,2020-10-31,Lionel Andrés Messi Cuccittini,Barcelona,2,59,99.0,24.7,Off T,Free Kick,0.044592485
3773386,2020/2021,2020-10-31,Antoine Griezmann,Barcelona,2,62,107.6,31.3,Goal,Open Play,0.29141483
3773386,2020/2021,2020-10-31,Lionel Andrés Messi Cuccittini,Barcelona,2,64,108.4,49.5,Saved,Open Play,0.07794037
